timestamp,open,high,low,close,volume
1717822800,69276,69315,69214,69277,5.54000317
1717826400,69278,69376,69255,69301,5.16903536
1717830000,69305,69538,69305,69538,26.47734734
1717833600,69529,69529,69347,69409,3.91962114
1717837200,69412,69459,69349,69419,8.24724877
1717840800,69438,69473,69330,69429,8.1631216
1717844400,69455,69494,69306,69339,18.99314795
1717848000,69341,69404,69262,69328,8.10382642
1717851600,69328,69397,69150,69396,33.3931004
1717855200,69397,69438,69290,69438,15.31620618
1717858800,69438,69480,69399,69419,13.58326403
1717862400,69418,69462,69302,69382,17.16779905
1717866000,69383,69469,69339,69443,10.18920179
1717869600,69439,69480,69420,69449,9.31011593
1717873200,69448,69510,69422,69455,45.1280069
1717876800,69456,69468,69315,69362,23.29624341
1717880400,69363,69405,69330,69397,10.32717756
1717884000,69396,69407,69297,69336,13.61945784
1717887600,69335,69336,69290,69306,22.11908131
1717891200,69306,69314,69240,69273,38.53074688
1717894800,69273,69323,69240,69290,14.1001815
1717898400,69289,69293,69165,69173,40.53115419
1717902000,69173,69272,69131,69253,13.28100957
1717905600,69250,69353,69235,69308,20.73992454
1717909200,69308,69347,69239,69298,4.57662222
1717912800,69298,69380,69293,69380,5.89940312
1717916400,69380,69397,69281,69287,10.45271936
1717920000,69281,69339,69280,69339,3.60877805
1717923600,69339,69373,69319,69360,16.21083227
1717927200,69359,69360,69322,69338,5.94728771
1717930800,69338,69380,69329,69360,3.08216098
1717934400,69364,69739,69344,69704,27.22622476
1717938000,69731,69756,69280,69455,66.29982672
1717941600,69450,69538,69269,69480,39.05504811
1717945200,69480,69572,69430,69508,23.72375635
1717948800,69503,69622,69493,69619,12.2569586
1717952400,69616,69689,69567,69658,11.17619458
1717956000,69657,69814,69605,69730,17.20273815
1717959600,69735,69840,69672,69701,11.30018619
1717963200,69713,69731,69598,69682,30.68895477
1717966800,69690,69805,69614,69743,24.87487383
1717970400,69740,69767,69614,69632,16.57003982
1717974000,69628,69677,69597,69640,7.01664321
1717977600,69649,69649,69430,69547,31.25729826
1717981200,69547,69653,69506,69606,29.25931429
1717984800,69604,69773,69589,69707,13.05429814
1717988400,69702,69752,69572,69603,16.99560066
1717992000,69603,69639,69530,69639,8.44874885
1717995600,69639,69639,69522,69543,11.94677511
1717999200,69540,69597,69330,69419,29.20289435
1718002800,69410,69472,69247,69271,38.02129554
1718006400,69265,69472,69254,69371,27.23217664
1718010000,69368,69438,69173,69425,48.99339946
1718013600,69425,69437,69335,69420,8.53231328
1718017200,69424,69513,69309,69445,21.18799854
1718020800,69451,69496,69330,69337,28.00280808
1718024400,69345,69480,69206,69377,69.63256211
1718028000,69377,69630,69282,69630,34.38238209
1718031600,69639,70167,69590,70031,109.58977444
1718035200,70058,70089,69722,69964,70.04503221
1718038800,69969,70041,69756,70040,21.07679478
1718042400,70028,70108,69723,69834,36.08635875
1718046000,69819,69819,69383,69469,56.80201023
1718049600,69488,69664,69330,69608,62.05190714
1718053200,69600,69664,69510,69565,21.25742714
1718056800,69572,69572,69388,69450,30.95686252
1718060400,69479,69525,69373,69501,6.13861156
1718064000,69506,69548,69376,69376,6.25426052
1718067600,69376,69499,68468,68672,102.40795553
1718071200,68541,68882,67888,68233,375.95345924
1718074800,68185,68453,68125,68433,73.22441773
1718078400,68381,68397,67616,67994,103.94633033
1718082000,67967,68035,67638,67873,92.29453564
1718085600,67849,67926,67320,67644,116.01026843
1718089200,67571,67808,67478,67536,85.99956261
1718092800,67509,67608,67268,67490,137.19054158
1718096400,67470,67606,66863,67044,122.09247722
1718100000,67038,67253,66696,66914,115.26919042
1718103600,66890,67062,66719,66824,92.41155886
1718107200,66824,67104,66740,66994,82.06112194
1718110800,66994,67242,66529,66769,174.20299504
1718114400,66768,67056,66749,66812,133.47477163
1718118000,66811,67039,66011,66220,191.99066126
